doi,venues,years,title,download_policy
10.1145/3618400,SIGGRAPH Asia; TOG,2023,An Unified <i>λ</i> -subdivision Scheme for Quadrilateral Meshes with Optimal Curvature Performance in Extraordinary Regions,download_once_by_doi
10.1145/3618401,SIGGRAPH Asia; TOG,2023,FLARE: Fast Learning of Animatable and Relightable Mesh Avatars,download_once_by_doi
10.1145/3618402,SIGGRAPH Asia; TOG,2023,GANeRF: Leveraging Discriminators to Optimize Neural Radiance Fields,download_once_by_doi
10.1145/3618403,SIGGRAPH Asia; TOG,2023,Variational Barycentric Coordinates,download_once_by_doi
10.1145/3618404,SIGGRAPH Asia; TOG,2023,Optimal Design of Robotic Character Kinematics,download_once_by_doi
10.1145/3618405,SIGGRAPH Asia; TOG,2023,Kirchhoff-Love Shells with Arbitrary Hyperelastic Materials,download_once_by_doi
10.1145/3618406,SIGGRAPH Asia; TOG,2023,Capturing Animation-Ready Isotropic Materials Using Systematic Poking,download_once_by_doi
10.1145/3618407,SIGGRAPH Asia; TOG,2023,Efficient Cone Singularity Construction for Conformal Parameterizations,download_once_by_doi
10.1145/3658120,SIGGRAPH; TOG,2024,SketchDream: Sketch-based Text-To-3D Generation and Editing,download_once_by_doi
10.1145/3658121,SIGGRAPH; TOG,2024,From microfacets to participating media: A unified theory of light transport with stochastic geometry,download_once_by_doi
10.1145/3658122,SIGGRAPH; TOG,2024,Differentiable Geodesic Distance for Intrinsic Minimization on Triangle Meshes,download_once_by_doi
10.1145/3658123,SIGGRAPH; TOG,2024,Solid Knitting,download_once_by_doi
10.1145/3658124,SIGGRAPH; TOG,2024,An Induce-on-Boundary Magnetostatic Solver for Grid-Based Ferrofluids,download_once_by_doi
10.1145/3658125,SIGGRAPH; TOG,2024,Computational Homogenization for Inverse Design of Surface-based Inflatables,download_once_by_doi
10.1145/3658126,SIGGRAPH; TOG,2024,PEA-PODs: Perceptual Evaluation of Algorithms for Power Optimization in XR Displays,download_once_by_doi
10.1145/3658127,SIGGRAPH; TOG,2024,Mesh Neural Cellular Automata,download_once_by_doi
10.1145/3658128,SIGGRAPH; TOG,2024,Automatic Digital Garment Initialization from Sewing Patterns,download_once_by_doi
10.1145/3658129,SIGGRAPH; TOG,2024,BrepGen: A B-rep Generative Diffusion Model with Structured Latent Geometry,download_once_by_doi
10.1145/3658130,SIGGRAPH; TOG,2024,Binary Opacity Grids: Capturing Fine Geometric Detail for Mesh-Based View Synthesis,download_once_by_doi
10.1145/3658131,SIGGRAPH; TOG,2024,Stochastic Computation of Barycentric Coordinates,download_once_by_doi
10.1145/3658132,SIGGRAPH; TOG,2024,Specular Polynomials,download_once_by_doi
10.1145/3658133,SIGGRAPH; TOG,2024,Conditional Mixture Path Guiding for Differentiable Rendering,download_once_by_doi
10.1145/3658134,SIGGRAPH; TOG,2024,Semantic Gesticulator: Semantics-Aware Co-Speech Gesture Synthesis,download_once_by_doi
10.1145/3658135,SIGGRAPH; TOG,2024,A Neural Network Model for Efficient Musculoskeletal-Driven Skin Deformation,download_once_by_doi
10.1145/3658136,SIGGRAPH; TOG,2024,Analogist: Out-of-the-box Visual In-Context Learning with Image Diffusion Model,download_once_by_doi
10.1145/3658137,SIGGRAPH; TOG,2024,MoConVQ: Unified Physics-Based Motion Control via Scalable Discrete Representations,download_once_by_doi
10.1145/3658138,SIGGRAPH; TOG,2024,Cybersickness Reduction via Gaze-Contingent Image Deformation,download_once_by_doi
10.1145/3658139,SIGGRAPH; TOG,2024,Spin-Weighted Spherical Harmonics for Polarized Light Transport,download_once_by_doi
10.1145/3658140,SIGGRAPH; TOG,2024,Interactive Character Control with Auto-Regressive Motion Diffusion Models,download_once_by_doi
10.1145/3658141,SIGGRAPH; TOG,2024,Towards Motion Metamers for Foveated Rendering,download_once_by_doi
10.1145/3658142,SIGGRAPH; TOG,2024,Alignment conditions for NURBS-based design of mixed tension-compression grid shells,download_once_by_doi
10.1145/3658143,SIGGRAPH; TOG,2024,Super-Resolution Cloth Animation with Spatial and Temporal Coherence,download_once_by_doi
10.1145/3658144,SIGGRAPH; TOG,2024,"ColorVideoVDP: A visual difference predictor for image, video and display distortions",download_once_by_doi
10.1145/3658145,SIGGRAPH; TOG,2024,Curvature-Driven Conformal Deformations,download_once_by_doi
10.1145/3658146,SIGGRAPH; TOG,2024,CLAY: A Controllable Large-scale Generative Model for Creating High-quality 3D Assets,download_once_by_doi
10.1145/3658147,SIGGRAPH; TOG,2024,DressCode: Autoregressively Sewing and Generating Garments from Text Guidance,download_once_by_doi
10.1145/3658148,SIGGRAPH; TOG,2024,Bilateral Guided Radiance Field Processing,download_once_by_doi
10.1145/3658149,SIGGRAPH; TOG,2024,Cyclogenesis: Simulating Hurricanes and Tornadoes,download_once_by_doi
10.1145/3658150,SIGGRAPH; TOG,2024,Transparent Image Layer Diffusion using Latent Transparency,download_once_by_doi
10.1145/3658151,SIGGRAPH; TOG,2024,Fabric Tessellation: Realizing Freeform Surfaces by Smocking,download_once_by_doi
10.1145/3658152,SIGGRAPH; TOG,2024,Differentiable Voronoi Diagrams for Simulation of Cell-Based Mechanical Systems,download_once_by_doi
10.1145/3658153,SIGGRAPH; TOG,2024,Walkin’ Robin: Walk on Stars with Robin Boundary Conditions,download_once_by_doi
10.1145/3658154,SIGGRAPH; TOG,2024,Position-Based Nonlinear Gauss-Seidel for Quasistatic Hyperelasticity,download_once_by_doi
10.1145/3658155,SIGGRAPH; TOG,2024,Split-and-Fit: Learning B-Reps via Structure-Aware Voronoi Partitioning,download_once_by_doi
10.1145/3658156,SIGGRAPH; TOG,2024,3Doodle: Compact Abstraction of Objects with 3D Strokes,download_once_by_doi
10.1145/3658157,SIGGRAPH; TOG,2024,Training-Free Consistent Text-to-Image Generation,download_once_by_doi
10.1145/3658158,SIGGRAPH; TOG,2024,Surface-Filling Curve Flows via Implicit Medial Axes,download_once_by_doi
10.1145/3658159,SIGGRAPH; TOG,2024,CWF: Consolidating Weak Features in High-quality Mesh Simplification,download_once_by_doi
10.1145/3658160,SIGGRAPH; TOG,2024,A Hierarchical 3D Gaussian Representation for Real-Time Rendering of Very Large Datasets,download_once_by_doi
10.1145/3658161,SIGGRAPH; TOG,2024,Stylized Rendering as a Function of Expectation,download_once_by_doi
10.1145/3658162,SIGGRAPH; TOG,2024,Portrait3D: Text-Guided High-Quality 3D Portrait Generation Using Pyramid Representation and GANs Prior,download_once_by_doi
10.1145/3658163,SIGGRAPH; TOG,2024,Neural Gaussian Scale-Space Fields,download_once_by_doi
10.1145/3658164,SIGGRAPH; TOG,2024,Going with the Flow,download_once_by_doi
10.1145/3658165,SIGGRAPH; TOG,2024,A Vortex Particle-on-Mesh Method for Soap Film Simulation,download_once_by_doi
10.1145/3658166,SIGGRAPH; TOG,2024,A Free-Space Diffraction BSDF,download_once_by_doi
10.1145/3658167,SIGGRAPH; TOG,2024,Creating LEGO Figurines from Single Images,download_once_by_doi
10.1145/3658168,SIGGRAPH; TOG,2024,Holographic Parallax Improves 3D Perceptual Realism,download_once_by_doi
10.1145/3658169,SIGGRAPH; TOG,2024,Spatial and Surface Correspondence Field for Interaction Transfer,download_once_by_doi
10.1145/3658170,SIGGRAPH; TOG,2024,DreamMat: High-quality PBR Material Generation with Geometry- and Light-aware Diffusion Models,download_once_by_doi
10.1145/3658171,SIGGRAPH; TOG,2024,NeurCADRecon: Neural Representation for Reconstructing CAD Surfaces by Enforcing Zero Gaussian Curvature,download_once_by_doi
10.1145/3658172,SIGGRAPH; TOG,2024,"S3: Speech, Script and Scene driven Head and Eye Animation",download_once_by_doi
10.1145/3658173,SIGGRAPH; TOG,2024,ZeroGrads: Learning Local Surrogates for Non-Differentiable Graphics,download_once_by_doi
10.1145/3658174,SIGGRAPH; TOG,2024,Repulsive Shells,download_once_by_doi
10.1145/3658175,SIGGRAPH; TOG,2024,FlexScale: Modeling and Characterization of Flexible Scaled Sheets,download_once_by_doi
10.1145/3658176,SIGGRAPH; TOG,2024,Real-time Physically Guided Hair Interpolation,download_once_by_doi
10.1145/3658177,SIGGRAPH; TOG,2024,Proxy Asset Generation for Cloth Simulation in Games,download_once_by_doi
10.1145/3658178,SIGGRAPH; TOG,2024,Kinetic Simulation of Turbulent Multifluid Flows,download_once_by_doi
10.1145/3658179,SIGGRAPH; TOG,2024,Vertex Block Descent,download_once_by_doi
10.1145/3658180,SIGGRAPH; TOG,2024,Eulerian-Lagrangian Fluid Simulation on Particle Flow Maps,download_once_by_doi
10.1145/3658181,SIGGRAPH; TOG,2024,Implicit Swept Volume SDF: Enabling Continuous Collision-Free Trajectory Generation for Arbitrary Shapes,download_once_by_doi
10.1145/3658182,SIGGRAPH; TOG,2024,Target-Aware Image Denoising for Inverse Monte Carlo Rendering,download_once_by_doi
10.1145/3658183,SIGGRAPH; TOG,2024,3D-Layers: Bringing Layer-Based Color Editing to VR Painting,download_once_by_doi
10.1145/3658184,SIGGRAPH; TOG,2024,"Simplicits: Mesh-Free, Geometry-Agnostic Elastic Simulation",download_once_by_doi
10.1145/3658185,SIGGRAPH; TOG,2024,Capacitive Touch Sensing on General 3D Surfaces,download_once_by_doi
10.1145/3658186,SIGGRAPH; TOG,2024,NeuralTO: Neural Reconstruction and View Synthesis of Translucent Objects,download_once_by_doi
10.1145/3658187,SIGGRAPH; TOG,2024,StopThePop: Sorted Gaussian Splatting for View-Consistent Real-time Rendering,download_once_by_doi
10.1145/3658188,SIGGRAPH; TOG,2024,BlockFusion: Expandable 3D Scene Generation using Latent Tri-plane Extrapolation,download_once_by_doi
10.1145/3658189,SIGGRAPH; TOG,2024,Learning a Generalized Physical Face Model From Data,download_once_by_doi
10.1145/3658190,SIGGRAPH; TOG,2024,Learning Images Across Scales Using Adversarial Training,download_once_by_doi
10.1145/3658191,SIGGRAPH; TOG,2024,Contact detection between curved fibres: high order makes a difference,download_once_by_doi
10.1145/3658192,SIGGRAPH; TOG,2024,Scintilla: Simulating Combustible Vegetation for Wildfires,download_once_by_doi
10.1145/3658193,SIGGRAPH; TOG,2024,SMERF: Streamable Memory Efficient Radiance Fields for Real-Time Large-Scene Exploration,download_once_by_doi
10.1145/3658194,SIGGRAPH; TOG,2024,Spin-It Faster: Quadrics Solve All Topology Optimization Problems That Depend Only On Mass Moments,download_once_by_doi
10.1145/3658195,SIGGRAPH; TOG,2024,One Noise to Rule Them All: Learning a Unified Model of Spatially-Varying Noise Patterns,download_once_by_doi
10.1145/3658196,SIGGRAPH; TOG,2024,Cricket: A Self-Powered Chirping Pixel,download_once_by_doi
10.1145/3658197,SIGGRAPH; TOG,2024,Deep Sketch Vectorization via Implicit Surface Extraction,download_once_by_doi
10.1145/3658198,SIGGRAPH; TOG,2024,Lifting Directional Fields to Minimal Sections,download_once_by_doi
10.1145/3658199,SIGGRAPH; TOG,2024,Lightning-fast Method of Fundamental Solutions,download_once_by_doi
10.1145/3658200,SIGGRAPH; TOG,2024,Terrain Amplification using Multi Scale Erosion,download_once_by_doi
10.1145/3658201,SIGGRAPH; TOG,2024,Ray Tracing Harmonic Functions,download_once_by_doi
10.1145/3658202,SIGGRAPH; TOG,2024,Seamless Parametrization in Penner Coordinates,download_once_by_doi
10.1145/3658203,SIGGRAPH; TOG,2024,Real-Time Path Guiding Using Bounding Voxel Sampling,download_once_by_doi
10.1145/3658204,SIGGRAPH; TOG,2024,Text-to-Vector Generation with Neural Path Representation,download_once_by_doi
10.1145/3658205,SIGGRAPH; TOG,2024,TIP-Editor: An Accurate 3D Editor Following Both Text-Prompts And Image-Prompts,download_once_by_doi
10.1145/3658206,SIGGRAPH; TOG,2024,Interactive Invigoration: Volumetric Modeling of Trees with Strands,download_once_by_doi
10.1145/3658207,SIGGRAPH; TOG,2024,Smooth Bijective Projection in a High-order Shell,download_once_by_doi
10.1145/3658208,SIGGRAPH; TOG,2024,Biharmonic Coordinates and their Derivatives for Triangular 3D Cages,download_once_by_doi
10.1145/3658209,SIGGRAPH; TOG,2024,Categorical Codebook Matching for Embodied Character Controllers,download_once_by_doi
10.1145/3658210,SIGGRAPH; TOG,2024,Area ReSTIR: Resampling for Real-Time Defocus and Antialiasing,download_once_by_doi
10.1145/3658211,SIGGRAPH; TOG,2024,TensoSDF: Roughness-aware Tensorial Representation for Robust Geometry and Material Reconstruction,download_once_by_doi
10.1145/3658212,SIGGRAPH; TOG,2024,Neural Slicer for Multi-Axis 3D Printing,download_once_by_doi
10.1145/3658213,SIGGRAPH; TOG,2024,Efficient Debris-flow Simulation for Steep Terrain Erosion,download_once_by_doi
10.1145/3658214,SIGGRAPH; TOG,2024,Progressive Dynamics for Cloth and Shell Animation,download_once_by_doi
10.1145/3658215,SIGGRAPH; TOG,2024,Adaptive grid generation for discretizing implicit complexes,download_once_by_doi
10.1145/3658216,SIGGRAPH; TOG,2024,Proxy Tracing: Unbiased Reciprocal Estimation for Optimized Sampling in BDPT,download_once_by_doi
10.1145/3658217,SIGGRAPH; TOG,2024,CharacterGen: Efficient 3D Character Generation from Single Images with Multi-View Pose Canonicalization,download_once_by_doi
10.1145/3658218,SIGGRAPH; TOG,2024,Temporally Stable Metropolis Light Transport Denoising using Recurrent Transformer Blocks,download_once_by_doi
10.1145/3658219,SIGGRAPH; TOG,2024,Variational Feature Extraction in Scientific Visualization,download_once_by_doi
10.1145/3658220,SIGGRAPH; TOG,2024,A Heat Method for Generalized Signed Distance,download_once_by_doi
10.1145/3658221,SIGGRAPH; TOG,2024,DiffPoseTalk: Speech-Driven Stylistic 3D Facial Animation and Head Pose Generation via Diffusion Models,download_once_by_doi
10.1145/3658222,SIGGRAPH; TOG,2024,EASI-Tex: Edge-Aware Mesh Texturing from Single Image,download_once_by_doi
10.1145/3658223,SIGGRAPH; TOG,2024,Multi-Material Mesh-Based Surface Tracking with Implicit Topology Changes,download_once_by_doi
10.1145/3658224,SIGGRAPH; TOG,2024,A Fully-correlated Anisotropic Micrograin BSDF Model,download_once_by_doi
10.1145/3658225,SIGGRAPH; TOG,2024,Split-Aperture 2-in-1 Computational Cameras,download_once_by_doi
10.1145/3658226,SIGGRAPH; TOG,2024,"fVDB : A Deep-Learning Framework for Sparse, Large Scale, and High Performance Spatial Intelligence",download_once_by_doi
10.1145/3658227,SIGGRAPH; TOG,2024,Interactive Design of Stylized Walking Gaits for Robotic Characters,download_once_by_doi
10.1145/3658228,SIGGRAPH; TOG,2024,Robust Containment Queries over Collections of Rational Parametric Curves via Generalized Winding Numbers,download_once_by_doi
10.1145/3658229,SIGGRAPH; TOG,2024,LightFormer: Light-Oriented Global Neural Rendering in Dynamic Scene,download_once_by_doi
10.1145/3658230,SIGGRAPH; TOG,2024,NICER: A New and Improved Consumed Endurance and Recovery Metric to Quantify Muscle Fatigue of Mid-Air Interactions,download_once_by_doi
10.1145/3658231,SIGGRAPH; TOG,2024,Computational Illusion Knitting,download_once_by_doi
10.1145/3658232,SIGGRAPH; TOG,2024,Theory of Human Tetrachromatic Color Experience and Printing,download_once_by_doi
10.1145/3658233,SIGGRAPH; TOG,2024,X-SLAM: Scalable Dense SLAM for Task-aware Optimization using CSFD,download_once_by_doi
10.1145/3658234,SIGGRAPH; TOG,2024,Universal Facial Encoding of Codec Avatars from VR Headsets,download_once_by_doi
10.1145/3658235,SIGGRAPH; TOG,2024,Audio Matters Too! Enhancing Markerless Motion Capture with Audio Signals for String Performance Capture,download_once_by_doi
10.1145/3658236,SIGGRAPH; TOG,2024,DiffCAD: Weakly-Supervised Probabilistic CAD Model Retrieval and Alignment from an RGB Image,download_once_by_doi
10.1145/3658237,SIGGRAPH; TOG,2024,RealFill: Reference-Driven Generation for Authentic Image Completion,download_once_by_doi
10.1145/3687755,SIGGRAPH Asia; TOG,2024,Learn to Create Simple LEGO Micro Buildings,download_once_by_doi
10.1145/3687756,SIGGRAPH Asia; TOG,2024,Real-time Large-scale Deformation of Gaussian Splatting,download_once_by_doi
10.1145/3687757,SIGGRAPH Asia; TOG,2024,NU-NeRF: Neural Reconstruction of Nested Transparent Objects with Uncontrolled Capture Environment,download_once_by_doi
10.1145/3687758,SIGGRAPH Asia; TOG,2024,MiNNIE: a Mixed Multigrid Method for Real-time Simulation of Nonlinear Near-Incompressible Elastics,download_once_by_doi
10.1145/3687759,SIGGRAPH Asia; TOG,2024,GaussianObject: High-Quality 3D Object Reconstruction from Four Views with Gaussian Splatting,download_once_by_doi
10.1145/3687760,SIGGRAPH Asia; TOG,2024,Efficient GPU Cloth Simulation with Non-distance Barriers and Subspace Reuse,download_once_by_doi
10.1145/3687761,SIGGRAPH Asia; TOG,2024,ToonCrafter: Generative Cartoon Interpolation,download_once_by_doi
10.1145/3687762,SIGGRAPH Asia; TOG,2024,LetsGo: Large-Scale Garage Modeling and Rendering via LiDAR-Assisted Gaussian Primitives,download_once_by_doi
10.1145/3687763,SIGGRAPH Asia; TOG,2024,MATTopo: Topology-preserving Medial Axis Transform with Restricted Power Diagram,download_once_by_doi
10.1145/3687764,SIGGRAPH Asia; TOG,2024,Differentiable Owen Scrambling,download_once_by_doi
10.1145/3687765,SIGGRAPH Asia; TOG,2024,Optimized shock-protecting microstructures,download_once_by_doi
10.1145/3687766,SIGGRAPH Asia; TOG,2024,GPU Coroutines for Flexible Splitting and Scheduling of Rendering Tasks,download_once_by_doi
10.1145/3687767,SIGGRAPH Asia; TOG,2024,Polarimetric BSSRDF Acquisition of Dynamic Faces,download_once_by_doi
10.1145/3687768,SIGGRAPH Asia; TOG,2024,GroomCap: High-Fidelity Prior-Free Hair Capture,download_once_by_doi
10.1145/3687769,SIGGRAPH Asia; TOG,2024,DreamUDF: Generating Unsigned Distance Fields from A Single Image,download_once_by_doi
10.1145/3687770,SIGGRAPH Asia; TOG,2024,mpcMech: Multi-Point Conjugation Mechanisms,download_once_by_doi
10.1145/3687771,SIGGRAPH Asia; TOG,2024,PuzzleAvatar: Assembling 3D Avatars from Personal Albums,download_once_by_doi
10.1145/3687772,SIGGRAPH Asia; TOG,2024,"Look Ma, no markers: holistic performance capture without the hassle",download_once_by_doi
10.1145/3687895,SIGGRAPH Asia; TOG,2024,Fast and Globally Consistent Normal Orientation based on the Winding Number Normal Consistency,download_once_by_doi
10.1145/3687896,SIGGRAPH Asia; TOG,2024,PVP-Recon: Progressive View Planning via Warping Consistency for Sparse-View Surface Reconstruction,download_once_by_doi
10.1145/3687897,SIGGRAPH Asia; TOG,2024,DirectL: Efficient Radiance Fields Rendering for 3D Light Field Displays,download_once_by_doi
10.1145/3687898,SIGGRAPH Asia; TOG,2024,Alignable Lamella Gridshells,download_once_by_doi
10.1145/3687899,SIGGRAPH Asia; TOG,2024,Computational Biomimetics of Winged Seeds,download_once_by_doi
10.1145/3687900,SIGGRAPH Asia; TOG,2024,Neural Differential Appearance Equations,download_once_by_doi
10.1145/3687901,SIGGRAPH Asia; TOG,2024,Neural Laplacian Operator for 3D Point Clouds,download_once_by_doi
10.1145/3687902,SIGGRAPH Asia; TOG,2024,A Generalized Ray Formulation For Wave-Optical Light Transport,download_once_by_doi
10.1145/3687903,SIGGRAPH Asia; TOG,2024,Generative Portrait Shadow Removal,download_once_by_doi
10.1145/3687904,SIGGRAPH Asia; TOG,2024,CBIL: Collective Behavior Imitation Learning for Fish from Real Videos,download_once_by_doi
10.1145/3687905,SIGGRAPH Asia; TOG,2024,Architectural Co-LOD Generation,download_once_by_doi
10.1145/3687906,SIGGRAPH Asia; TOG,2024,A Flexible Mold for Facade Panel Fabrication,download_once_by_doi
10.1145/3687907,SIGGRAPH Asia; TOG,2024,"EgoHDM: A Real-time Egocentric-Inertial Human Motion Capture, Localization, and Dense Mapping System",download_once_by_doi
10.1145/3687908,SIGGRAPH Asia; TOG,2024,A Cubic Barrier with Elasticity-Inclusive Dynamic Stiffness,download_once_by_doi
10.1145/3687909,SIGGRAPH Asia; TOG,2024,TEXGen: a Generative Diffusion Model for Mesh Textures,download_once_by_doi
10.1145/3687910,SIGGRAPH Asia; TOG,2024,LVCD: Reference-based Lineart Video Colorization with Diffusion Models,download_once_by_doi
10.1145/3687911,SIGGRAPH Asia; TOG,2024,Volumetric Homogenization for Knitwear Simulation,download_once_by_doi
10.1145/3687912,SIGGRAPH Asia; TOG,2024,Evaluating Visual Perception of Object Motion in Dynamic Environments,download_once_by_doi
10.1145/3687913,SIGGRAPH Asia; TOG,2024,Differential Walk on Spheres,download_once_by_doi
10.1145/3687914,SIGGRAPH Asia; TOG,2024,3D Reconstruction with Fast Dipole Sums,download_once_by_doi
10.1145/3687915,SIGGRAPH Asia; TOG,2024,Stripe Embedding: Efficient Maps with Exact Numeric Computation,download_once_by_doi
10.1145/3687916,SIGGRAPH Asia; TOG,2024,Particle-Laden Fluid on Flow Maps,download_once_by_doi
10.1145/3687918,SIGGRAPH Asia; TOG,2024,Large Scale Farm Scene Modeling from Remote Sensing Imagery,download_once_by_doi
10.1145/3687919,SIGGRAPH Asia; TOG,2024,Representing Long Volumetric Video with Temporal Gaussian Hierarchy,download_once_by_doi
10.1145/3687920,SIGGRAPH Asia; TOG,2024,PCO: Precision-Controllable Offset Surfaces with Sharp Features,download_once_by_doi
10.1145/3687921,SIGGRAPH Asia; TOG,2024,GarVerseLOD: High-Fidelity 3D Garment Reconstruction from a Single In-the-Wild Image using a Dataset with Levels of Details,download_once_by_doi
10.1145/3687922,SIGGRAPH Asia; TOG,2024,ParSEL: Parameterized Shape Editing with Language,download_once_by_doi
10.1145/3687923,SIGGRAPH Asia; TOG,2024,GFFE: G-buffer Free Frame Extrapolation for Low-latency Real-time Rendering,download_once_by_doi
10.1145/3687924,SIGGRAPH Asia; TOG,2024,Inverse Rendering for Tomographic Volumetric Additive Manufacturing,download_once_by_doi
10.1145/3687925,SIGGRAPH Asia; TOG,2024,Exact and Efficient Intersection Resolution for Mesh Arrangements,download_once_by_doi
10.1145/3687926,SIGGRAPH Asia; TOG,2024,Robust Dual Gaussian Splatting for Immersive Human-centric Volumetric Videos,download_once_by_doi
10.1145/3687927,SIGGRAPH Asia; TOG,2024,GaussianHeads: End-to-End Learning of Drivable Gaussian Head Avatars from Coarse-to-fine Representations,download_once_by_doi
10.1145/3687928,SIGGRAPH Asia; TOG,2024,Chebyshev Parameterization for Woven Fabric Modeling,download_once_by_doi
10.1145/3687929,SIGGRAPH Asia; TOG,2024,Identifying Behavioral Correlates to Visual Discomfort,download_once_by_doi
10.1145/3687930,SIGGRAPH Asia; TOG,2024,DARTS: Diffusion Approximated Residual Time Sampling for Time-of-flight Rendering in Homogeneous Scattering Media,download_once_by_doi
10.1145/3687931,SIGGRAPH Asia; TOG,2024,StyleTex: Style Image-Guided Texture Generation for 3D Models,download_once_by_doi
10.1145/3687932,SIGGRAPH Asia; TOG,2024,CPoser: An Optimization-after-Parsing Approach for Text-to-Pose Generation Using Large Language Models,download_once_by_doi
10.1145/3687933,SIGGRAPH Asia; TOG,2024,Learning Based Toolpath Planner on Diverse Graphs for 3D Printing,download_once_by_doi
10.1145/3687934,SIGGRAPH Asia; TOG,2024,3D Gaussian Ray Tracing: Fast Tracing of Particle Scenes,download_once_by_doi
10.1145/3687935,SIGGRAPH Asia; TOG,2024,V^3: Viewing Volumetric Videos on Mobiles via Streamable 2D Dynamic Gaussians,download_once_by_doi
10.1145/3687936,SIGGRAPH Asia; TOG,2024,Direct Manipulation of Procedural Implicit Surfaces,download_once_by_doi
10.1145/3687937,SIGGRAPH Asia; TOG,2024,Gaussian Opacity Fields: Efficient Adaptive Surface Reconstruction in Unbounded Scenes,download_once_by_doi
10.1145/3687938,SIGGRAPH Asia; TOG,2024,Online Neural Denoising with Cross-Regression for Interactive Rendering,download_once_by_doi
10.1145/3687939,SIGGRAPH Asia; TOG,2024,Quad mesh mechanisms,download_once_by_doi
10.1145/3687940,SIGGRAPH Asia; TOG,2024,Designing triangle meshes with controlled roughness,download_once_by_doi
10.1145/3687941,SIGGRAPH Asia; TOG,2024,SKEL-Betweener: a Neural Motion Rig for Interactive Motion Authoring,download_once_by_doi
10.1145/3687942,SIGGRAPH Asia; TOG,2024,Approximation by Meshes with Spherical Faces,download_once_by_doi
10.1145/3687943,SIGGRAPH Asia; TOG,2024,Efficient Image-Space Shape Splatting for Monte Carlo Rendering,download_once_by_doi
10.1145/3687944,SIGGRAPH Asia; TOG,2024,Stochastic Normal Orientation for Point Clouds,download_once_by_doi
10.1145/3687945,SIGGRAPH Asia; TOG,2024,Still-Moving: Customized Video Generation without Customized Video Data,download_once_by_doi
10.1145/3687946,SIGGRAPH Asia; TOG,2024,Trading Spaces: Adaptive Subspace Time Integration for Contacting Elastodynamics,download_once_by_doi
10.1145/3687947,SIGGRAPH Asia; TOG,2024,All you need is rotation: Construction of developable strips,download_once_by_doi
10.1145/3687948,SIGGRAPH Asia; TOG,2024,UFO Instruction Graphs Are Machine Knittable,download_once_by_doi
10.1145/3687949,SIGGRAPH Asia; TOG,2024,Neural Kernel Regression for Consistent Monte Carlo Denoising,download_once_by_doi
10.1145/3687950,SIGGRAPH Asia; TOG,2024,Bijective Volumetric Mapping via Star Decomposition,download_once_by_doi
10.1145/3687951,SIGGRAPH Asia; TOG,2024,MaskedMimic: Unified Physics-Based Character Control Through Masked Motion Inpainting,download_once_by_doi
10.1145/3687952,SIGGRAPH Asia; TOG,2024,3DGSR: Implicit Surface Reconstruction with 3D Gaussian Splatting,download_once_by_doi
10.1145/3687953,SIGGRAPH Asia; TOG,2024,"Quark: Real-time, High-resolution, and General Neural View Synthesis",download_once_by_doi
10.1145/3687954,SIGGRAPH Asia; TOG,2024,Enhancing the Aesthetics of 3D Shapes via Reference-based Editing,download_once_by_doi
10.1145/3687955,SIGGRAPH Asia; TOG,2024,Skeleton-Driven Inbetweening of Bitmap Character Drawings,download_once_by_doi
10.1145/3687956,SIGGRAPH Asia; TOG,2024,Surface Reconstruction Using Rotation Systems,download_once_by_doi
10.1145/3687957,SIGGRAPH Asia; TOG,2024,SGEdit: Bridging LLM with Text2Image Generative Model for Scene Graph-based Image Editing,download_once_by_doi
10.1145/3687958,SIGGRAPH Asia; TOG,2024,Differentiable Photon Mapping using Generalized Path Gradients,download_once_by_doi
10.1145/3687959,SIGGRAPH Asia; TOG,2024,Solid-Fluid Interaction on Particle Flow Maps,download_once_by_doi
10.1145/3687960,SIGGRAPH Asia; TOG,2024,A Time-Dependent Inclusion-Based Method for Continuous Collision Detection between Parametric Surfaces,download_once_by_doi
10.1145/3687961,SIGGRAPH Asia; TOG,2024,Accelerate Neural Subspace-Based Reduced-Order Solver of Deformable Simulation by Lipschitz Optimization,download_once_by_doi
10.1145/3687962,SIGGRAPH Asia; TOG,2024,Geometry-Aware Retargeting for Two-Skinned Characters Interaction,download_once_by_doi
10.1145/3687963,SIGGRAPH Asia; TOG,2024,An Impulse Ghost Fluid Method for Simulating Two-Phase Flows,download_once_by_doi
10.1145/3687964,SIGGRAPH Asia; TOG,2024,Medial Skeletal Diagram: A Generalized Medial Axis Approach for Compact 3D Shape Representation,download_once_by_doi
10.1145/3687965,SIGGRAPH Asia; TOG,2024,Dense Server Design for Immersion Cooling,download_once_by_doi
10.1145/3687966,SIGGRAPH Asia; TOG,2024,Computational Design of a Kit of Parts for Bending Active Structures,download_once_by_doi
10.1145/3687967,SIGGRAPH Asia; TOG,2024,Tencers: Tension-Constrained Elastic Rods,download_once_by_doi
10.1145/3687968,SIGGRAPH Asia; TOG,2024,Deformation Recovery: Localized Learning for Detail-Preserving Deformations,download_once_by_doi
10.1145/3687969,SIGGRAPH Asia; TOG,2024,AR-DAVID: Augmented Reality Display Artifact Video Dataset,download_once_by_doi
10.1145/3687970,SIGGRAPH Asia; TOG,2024,Fluid Implicit Particles on Coadjoint Orbits,download_once_by_doi
10.1145/3687971,SIGGRAPH Asia; TOG,2024,StableNormal: Reducing Diffusion Variance for Stable and Sharp Normal,download_once_by_doi
